index_code,date,open,close,low,high,volume,money,change
sh000007,2007-04-16,6349.65,6502.63,6349.65,6504.85,2341261600.0,22430288617.0,0.0276014310437
sh000007,2007-04-13,6364.35,6327.97,6294.23,6416.71,2761777400.0,25939814157.0,-0.00509122845579
sh000007,2007-04-12,6258.6,6360.35,6208.4,6362.09,2434042400.0,22377348718.0,0.0155353971195
sh000007,2007-04-11,6222.07,6263.05,6144.41,6268.74,2487661400.0,21804759518.0,0.0069432363977
sh000007,2007-04-10,6250.89,6219.87,6057.56,6279.74,2186432900.0,19928867424.0,-0.00304862118013
sh000007,2007-04-09,6068.98,6238.89,6068.95,6241.64,2351714500.0,21395948265.0,0.0325525632481
sh000007,2007-04-06,5940.0,6042.2,5913.38,6060.63,2144348600.0,19078382967.0,0.00792938652265
sh000007,2007-04-05,5906.81,5994.66,5877.1,6005.23,2048544000.0,18709207156.0,0.0141810615444
sh000007,2007-04-04,5875.87,5910.84,5834.9,5950.01,1921303300.0,17965129254.0,0.00826695383118
sh000007,2007-04-03,5834.15,5862.38,5771.0,5863.71,1915211500.0,16914292018.0,0.0127363007374
sh000007,2007-04-02,5679.9,5788.65,5656.84,5790.07,1591996100.0,13359534464.0,0.0225831559147
sh000007,2007-03-30,5635.3,5660.81,5579.78,5709.39,1316669500.0,10919477168.0,0.000603280765596
sh000007,2007-03-29,5791.88,5657.4,5653.94,5839.19,2644788100.0,21566465012.0,-0.0222108574469
sh000007,2007-03-28,5732.62,5785.91,5530.0,5827.12,3296742700.0,26591141381.0,0.0107658916874
sh000007,2007-03-27,5614.91,5724.28,5574.79,5737.42,2295024900.0,19315435780.0,0.0221198406829
sh000007,2007-03-26,5474.51,5600.4,5465.68,5601.74,2414136100.0,18964130236.0,0.027479055609
sh000007,2007-03-23,5386.09,5450.62,5277.15,5466.04,2039234900.0,15647360628.0,0.0113482549189
sh000007,2007-03-22,5408.66,5389.46,5374.7,5458.0,2185778200.0,17117026347.0,0.00162934311844
sh000007,2007-03-21,5364.78,5380.7,5293.26,5383.11,1764325800.0,13983728416.0,0.00458333201086
sh000007,2007-03-20,5259.84,5356.15,5220.63,5367.05,1764342600.0,13519804174.0,0.0220398485377
sh000007,2007-03-19,4984.74,5240.64,4955.06,5263.16,1835622600.0,13729587635.0,0.0187182017712
sh000007,2007-03-16,5216.23,5144.35,5076.1,5232.97,2076178400.0,15633460562.0,-0.0109809384581
sh000007,2007-03-15,5105.66,5201.47,5105.42,5203.95,1836610900.0,14237312009.0,0.0174392686833
sh000007,2007-03-14,5150.77,5112.31,5021.98,5172.32,1768837800.0,12861331629.0,-0.018154200658
sh000007,2007-03-13,5149.16,5206.84,5115.26,5208.39,1761601900.0,12967746285.0,0.0118876670847
sh000007,2007-03-12,5120.6,5145.67,5054.35,5148.13,1566396200.0,11734968496.0,0.00586177952422
sh000007,2007-03-09,5181.86,5115.68,5065.67,5190.05,1629403700.0,11671266109.0,-0.0128983384171
sh000007,2007-03-08,5131.31,5182.53,5081.29,5195.59,1605474000.0,11709060080.0,0.0113058800802
sh000007,2007-03-07,5016.96,5124.59,5016.96,5146.42,1722624600.0,12356839994.0,0.0253203356997
sh000007,2007-03-06,4934.0,4998.04,4882.57,5024.6,1339209000.0,9392869626.0,0.00985785924289
sh000007,2007-03-05,4996.86,4949.25,4811.01,5063.58,2122695500.0,14281911269.0,-0.006434663066
sh000007,2007-03-02,4826.33,4981.3,4821.68,5002.48,1994678300.0,13078640310.0,0.0307573755417
sh000007,2007-03-01,4994.08,4832.66,4770.34,4994.41,2145104200.0,14549394253.0,-0.0304205997769
